"","NA.","mid","plotba","class","age","ht","nspp","plot"
"1",NA,NA,NA,"400",0,NA,1,301
"2",NA,NA,NA,"400",0,NA,1,302
"3",NA,NA,NA,"400",0,NA,1,303
"4",NA,NA,NA,"400",0,NA,1,304
"5",NA,NA,NA,"400",0,NA,1,305
"6",NA,NA,NA,"400",0,NA,1,306
"7",NA,NA,NA,"400",0,NA,1,307
"8",NA,NA,NA,"400",0,NA,1,308
"9",NA,NA,NA,"401",1,NA,1,309
"10",NA,NA,NA,"401",1,NA,1,310
"11",NA,NA,NA,"401",1,NA,1,311
"12",NA,NA,NA,"401",1,NA,1,312
"13",NA,NA,NA,"401",1,NA,1,313
"14",NA,NA,NA,"401",1,NA,1,314
"15",NA,NA,NA,"401",1,NA,1,315
"16",NA,NA,NA,"401",1,NA,1,316
"17",NA,NA,NA,"402",2,NA,1,317
"18",NA,NA,NA,"402",2,NA,1,318
"19",NA,NA,NA,"402",2,NA,1,319
"20",NA,NA,NA,"402",2,NA,1,320
"21",NA,NA,NA,"402",2,NA,1,321
"22",NA,NA,NA,"402",2,NA,1,322
"23",NA,NA,NA,"402",2,NA,1,323
"24",NA,NA,NA,"402",2,NA,1,324
"25",NA,NA,NA,"403",3,NA,1,325
"26",NA,NA,NA,"403",3,NA,1,326
"27",NA,NA,NA,"403",3,NA,1,327
"28",NA,NA,NA,"403",3,NA,1,328
"29",NA,NA,NA,"403",3,NA,1,329
"30",NA,NA,NA,"403",3,NA,1,330
"31",NA,NA,NA,"403",3,NA,1,331
"32",NA,NA,NA,"403",3,NA,1,332
"33",NA,NA,NA,"404",4,NA,1,333
"34",NA,NA,NA,"404",4,NA,1,334
"35",NA,NA,NA,"404",4,NA,1,335
"36",NA,NA,NA,"404",4,NA,1,336
"37",NA,NA,NA,"404",4,NA,1,337
"38",NA,NA,NA,"404",4,NA,1,338
"39",NA,NA,NA,"404",4,NA,1,339
"40",NA,NA,NA,"404",4,NA,1,340
"41",NA,NA,NA,"405",5,NA,1,341
"42",NA,NA,NA,"405",5,NA,1,342
"43",NA,NA,NA,"405",5,NA,1,343
"44",NA,NA,NA,"405",5,NA,1,344
"45",NA,NA,NA,"405",5,NA,1,345
"46",NA,NA,NA,"405",5,NA,1,346
"47",NA,NA,NA,"405",5,NA,1,347
"48",NA,NA,NA,"405",5,NA,1,348
"49",NA,NA,NA,"406",6,NA,1,349
"50",NA,NA,NA,"406",6,NA,1,350
"51",NA,NA,NA,"406",6,NA,1,351
"52",NA,NA,NA,"406",6,NA,1,352
"53",NA,NA,NA,"406",6,NA,1,353
"54",NA,NA,NA,"406",6,NA,1,354
"55",NA,NA,NA,"406",6,NA,1,355
"56",NA,NA,NA,"406",6,NA,1,356
"57",NA,NA,NA,"407",7,NA,1,357
"58",NA,NA,NA,"407",7,NA,1,358
